features,label
Smith PLC agrees to pay Hayes-Tran the amount of $97416 for the services described above. Payment shall be made within 52 days of receiving an invoice from Hayes-Tran.,1
This contract will commence on 2024-04-08 and will continue until 2024-04-11 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 52 days written notice to the other party. In the event of termination, Hayes-Tran will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Oklahoma.,5
Hayes-Tran,6
Smith PLC,6
"Morris-Miller agrees to provide the following services to Lee, Johnson and Stone. services are service1 service2, service3.",0
"Lee, Johnson and Stone agrees to pay Morris-Miller the amount of $84068 for the services described above. Payment shall be made within 53 days of receiving an invoice from Morris-Miller.",1
This contract will commence on 2024-04-12 and will continue until 2024-03-06 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 53 days written notice to the other party. In the event of termination, Morris-Miller will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Georgia.,5
Morris-Miller,6
"Lee, Johnson and Stone",6
"Nguyen, Campbell and Gonzalez agrees to provide the following services to Tapia-Maynard. services are service1 service2, service3.",0
"Tapia-Maynard agrees to pay Nguyen, Campbell and Gonzalez the amount of $61934 for the services described above. Payment shall be made within 75 days of receiving an invoice from Nguyen, Campbell and Gonzalez.",1
This contract will commence on 2024-01-30 and will continue until 2024-05-15 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 75 days written notice to the other party. In the event of termination, Nguyen, Campbell and Gonzalez will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of New Hampshire.,5
"Nguyen, Campbell and Gonzalez",6
Tapia-Maynard,6
"Nicholson-Austin agrees to provide the following services to Moore, Pennington and Allen. services are service1 service2, service3.",0
"Moore, Pennington and Allen agrees to pay Nicholson-Austin the amount of $17461 for the services described above. Payment shall be made within 34 days of receiving an invoice from Nicholson-Austin.",1
This contract will commence on 2024-02-04 and will continue until 2024-02-13 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 34 days written notice to the other party. In the event of termination, Nicholson-Austin will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Oklahoma.,5
Nicholson-Austin,6
"Moore, Pennington and Allen",6
"Conrad, Smith and Monroe agrees to provide the following services to Parker-Schmidt. services are service1 service2, service3.",0
"Parker-Schmidt agrees to pay Conrad, Smith and Monroe the amount of $24057 for the services described above. Payment shall be made within 44 days of receiving an invoice from Conrad, Smith and Monroe.",1
This contract will commence on 2024-04-12 and will continue until 2024-05-17 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 44 days written notice to the other party. In the event of termination, Conrad, Smith and Monroe will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Oklahoma.,5
"Conrad, Smith and Monroe",6
Parker-Schmidt,6
"Schmidt, Martin and Miller agrees to provide the following services to Mcdonald-Duffy. services are service1 service2, service3.",0
"Mcdonald-Duffy agrees to pay Schmidt, Martin and Miller the amount of $10424 for the services described above. Payment shall be made within 60 days of receiving an invoice from Schmidt, Martin and Miller.",1
This contract will commence on 2024-06-04 and will continue until 2024-03-28 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 60 days written notice to the other party. In the event of termination, Schmidt, Martin and Miller will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Virginia.,5
"Schmidt, Martin and Miller",6
Mcdonald-Duffy,6
"Henderson, Ramirez and Walker agrees to provide the following services to Stout LLC. services are service1 service2, service3.",0
"Stout LLC agrees to pay Henderson, Ramirez and Walker the amount of $29920 for the services described above. Payment shall be made within 52 days of receiving an invoice from Henderson, Ramirez and Walker.",1
This contract will commence on 2024-04-02 and will continue until 2024-04-05 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 52 days written notice to the other party. In the event of termination, Henderson, Ramirez and Walker will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of North Dakota.,5
"Henderson, Ramirez and Walker",6
Stout LLC,6
"Collins and Sons agrees to provide the following services to Simpson Group. services are service1 service2, service3.",0
Simpson Group agrees to pay Collins and Sons the amount of $67462 for the services described above. Payment shall be made within 46 days of receiving an invoice from Collins and Sons.,1
This contract will commence on 2024-06-08 and will continue until 2024-05-03 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 46 days written notice to the other party. In the event of termination, Collins and Sons will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of North Dakota.,5
Collins and Sons,6
Simpson Group,6
"Wilson-Cole agrees to provide the following services to Carter, Thomas and Johns. services are service1 service2, service3.",0
"Carter, Thomas and Johns agrees to pay Wilson-Cole the amount of $30318 for the services described above. Payment shall be made within 58 days of receiving an invoice from Wilson-Cole.",1
This contract will commence on 2024-05-28 and will continue until 2024-04-24 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 58 days written notice to the other party. In the event of termination, Wilson-Cole will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Oregon.,5
Wilson-Cole,6
"Carter, Thomas and Johns",6
"Watson-Johnson agrees to provide the following services to Roberts, Rose and Fitzgerald. services are service1 service2, service3.",0
"Roberts, Rose and Fitzgerald agrees to pay Watson-Johnson the amount of $79490 for the services described above. Payment shall be made within 40 days of receiving an invoice from Watson-Johnson.",1
This contract will commence on 2024-05-08 and will continue until 2024-04-09 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 40 days written notice to the other party. In the event of termination, Watson-Johnson will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Wyoming.,5
Watson-Johnson,6
"Roberts, Rose and Fitzgerald",6
